STREET_NO,STREET_NAME,ZIP_CODE,NO_ROOMS,NO_BEDROOMS,NO_FULL_BATHS,NO_HALF_BATHS,SQUARE_FEET,SALE_PRICE,LIST_PRICE,ORIG_PRICE,MARKET_TIME_PROPERTY,GARAGE_SPACES_RN,ELEVATOR_RN,PARKING_SPACES_RN,Avg Rent
49,Orchard Street,2140,4,1,1,0,300,1500,1500,1500,3,,N,0,
75-83,Cambridge Pkwy,2142,4,1,1,0,785,3200,3200,3200,0,1,Y,1,
278,Harvard St,2139,1,1,1,0,275,1825,1825,1825,2,,,0,"$1,813"
69,Dana Street, ,2,1,1,0,300,1800,1800,1800,7,0,N,0,
29,Concord Ave.,2138,3,1,1,0,500,2650,2650,2650,6,,Y,1,
424,Broadway,2138,3,1,1,0,561,2200,2200,2200,0,,N,0,
63-71,Fulkerson St,2141,4,1,1,0,549,2700,2900,2900,8,0,Y,1,
241,Hurley St,2141,4,1,1,0,404,2100,2100,2100,15,,N,0,
1572,Massachusetts,2138,3,1,1,0,520,2500,2500,2500,6,,,0,
25,Irving Terrace,2138,3,1,1,0,426,2100,2100,2200,8,,,0,
33,Rogers St.,2142,3,1,1,0,700,3379,3340,3340,7,1,Y,1,
5,Haskell Street,2140,3,1,1,0,412,1850,1850,1850,4,,,0,
241,River Street,2139,3,1,1,0,465,1950,1950,1950,2,0,N,0,
29,Concord Ave.,2138,3,1,1,0,500,2575,2575,2575,11,,Y,0,
33,Rogers St.,2142,3,1,1,0,541,3189,3175,3130,24,1,Y,1,
33,Rogers St.,2142,3,1,1,0,541,3165,3135,3090,24,1,Y,1,
6,Hancock Place,2139,3,1,1,0,449,2150,2150,2150,8,,N,0,
29,Concord Ave.,2141,3,1,1,0,500,2900,2900,2900,24,,Y,1,
1572,Mass Ave,2138,1,1,1,0,275,1800,1800,1800,11,,Y,0,
99,Hancock St,2139,3,1,1,0,500,2350,2350,2350,8,,,0,
33,Rogers St.,2142,3,1,1,0,541,3159,3150,3180,26,1,Y,1,
67-69,Ellery St,2138,3,1,1,0,370,1700,1700,1700,7,,N,0,
1137,Massachusetts Avenue,2138,3,1,1,0,400,2200,2200,2200,20,,Y,0,
197,Otis Street,2141,3,1,1,0,429,2000,2000,2000,8,0,N,0,
348,Franklin St,2139,3,1,1,0,535,2175,2200,2200,3,0,N,1,
863,Massachussets Ave,2139,3,1,1,0,450,2400,2400,2400,18,,Y,0,
4,Arlington St,2140,2,1,1,0,484,2075,2075,2075,2,,,0,
341,Hurley Street,,3,1,1,0,520,2225,2095,2095,5,,N,0,
67-69,Ellery Street,2138,3,1,1,0,370,1650,1650,1650,7,,N,0,
190,Prospect Street,2139,3,1,1,0,650,2900,2900,2900,8,1,N,1,
33,Rogers St.,2142,3,1,1,0,700,3289,3275,3275,11,1,Y,1,
87,New Street,2138,2,1,1,0,790,2625,2625,2625,0,1,Y,1,
4,Crawford Street,2139,3,1,1,0,580,2250,2250,2250,3,0,,0,
4,Watson St,2139,5,1,1,0,650,2000,2000,2000,1,,,0,
11A,Kirkland Pl,2138,3,1,1,0,600,3050,2950,3050,18,,N,1,
281,Pearl St,2139,3,1,1,0,647,2700,2800,2800,6,0,N,1,
9,Bowdoin St.,2138,3,1,1,0,450,2450,2450,2500,25,,N,1,
1,Earhart,2141,6,1,1,1,924,3300,3300,3300,7,1,,1,
8,Museum Way,2141,4,1,1,0,663,2800,2750,2750,11,1,Y,1,
2456,Massachusetts Avenue,2130,3,1,1,0,526,2300,2300,2300,9,1,Y,1,
4,Washington Ave,2140,3,1,1,0,607,2700,2700,2700,10,0,N,0,
57-59,Magazine Street,2139,4,1,1,0,768,2650,2600,2600,3,,N,0,
269,Harvard St,2139,3,1,1,0,600,2300,2300,2300,4,,,1,
33,Rogers St.,2142,3,1,1,0,541,3190,3190,3100,37,1,Y,1,
27,Wheeler St,2138,3,1,1,0,644,2450,2450,2450,4,,,0,
518,Putnam Ave,2139,3,1,1,0,560,2400,2400,2400,9,,N,1,
28,Mt. Auburn Street,2139,3,1,1,0,550,2350,2350,2350,9,,N,0,
33,Rogers St.,2142,3,1,1,0,700,3379,3325,3325,17,1,Y,1,
20,Lambert,2141,5,1,1,0,750,2795,2795,2795,9,,,1,
872,Mass Ave,2139,2,1,1,0,550,2400,2400,2400,6,,Y,0,
1,Earhart,2141,3,1,1,1,825,2950,2850,2850,3,0,Y,1,
80,Hampshire St,2139,3,1,1,0,500,1600,1600,1600,1,,,0,
75-83,CAMBRIDGE PARKWAY,2142,3,1,1,1,785,2800,2950,2950,3,0,Y,1,
3,Linnaean Street,2138,3,1,1,0,650,2400,2400,2400,4,,N,0,
2,Crawford Street,2139,3,1,1,0,560,2250,2250,2250,7,,N,0,
10,Museum Way,2141,3,1,1,0,711,2950,2950,2950,9,,Y,1,
30,Upland Road,2140,3,1,1,0,650,2575,2575,2575,7,,,0,
1697,Cambridge St.,2138,3,1,1,0,605,2500,2600,2600,9,,N,0,
169,Monsignor O'Brien Highway,2128,3,1,1,0,608,2600,2600,2600,11,,,0,
